Activity_Period,Operating_Airline,Operating_Airline_IATA_Code,Published_Airline,Published_Airline_IATA_Code,GEO_Summary,GEO_Region,Landing_Aircraft_Type,Aircraft_Body_Type,Aircraft_Manufacturer,Aircraft_Model,Aircraft_Version,Landing_Count,Total_Landed_Weight
7/1/05,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Boeing,B747,430,31,19530000
7/1/05,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,600,31,17701000
7/1/05,Mesa Airlines,YV,US Airways,US ,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,900,35,2572500
7/1/05,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A318,-,1,126770
7/1/05,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A319,-,20,2690000
7/1/05,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A320,-,42,5972400
7/1/05,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-88,-,31,4324500
7/1/05,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,B747,200,48,30240000
7/1/05,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Freighter,Wide Body,Boeing,B747,200,3,1890000
7/1/05,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Freighter,Wide Body,Boeing,B747,200,1,639000
7/1/05,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,B757,300,93,20832000
7/1/05,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,B757,-,185,36630000
7/1/05,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A319,-,9,1209600
7/1/05,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A320,-,83,11802600
7/1/05,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Passenger,Wide Body,Airbus,A330,223,31,12437200
7/1/05,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,B747,400,28,17640000
7/1/05,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A340,300,8,3351040
7/1/05,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B747,400,33,20790000
7/1/05,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B747,-,2,1331600
7/1/05,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,B777,200ER,31,14230550
7/1/05,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,500,155,7285000
7/1/05,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,600,268,17956000
7/1/05,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,600,62,4154000
7/1/05,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,1360,63920000
7/1/05,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Turbo Prop,Embraer,ERJ,120,1655,42699000
7/1/05,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,800,31,4533500
7/1/05,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,-,62,8816400
7/1/05,Tradewinds Airlines,WI,Tradewinds Airlines,WI,Domestic,US,Freighter,Wide Body,Boeing,B747,200B,8,5040000
7/1/05,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Boeing,B737,300,144,16426400
7/1/05,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Airbus,A319,-,148,20379700
7/1/05,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Airbus,A320,-,100,14213600
7/1/05,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Airbus,A321,-,259,44418500
7/1/05,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B737,200,1,98000
7/1/05,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B737,500,4,440000
7/1/05,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B737,700,76,9728000
7/1/05,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B737,800,199,28656000
7/1/05,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B737,900,26,3829800
7/1/05,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B737,-,68,7752000
7/1/05,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B757,200,61,12078000
7/1/05,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B767,300,1,350000
